title,family,split,cost,period,summary_cents,dm_ask_hint,dm_sale_hint,steam_ask,steam_bid,outward_bid,returning_bid,outward_any,returning_any
AK-47 | Slate (Field-Tested),AK-47 | Slate,holdout,5,last_24h,610,,,503,494,820,-141,1132,-117
G3SG1 | Desert Storm (Factory New),G3SG1 | Desert Storm,holdout,3,last_24h,101,138,44,94,60,-66,-67,154,339
G3SG1 | Digital Mesh (Battle-Scarred),G3SG1 | Digital Mesh,holdout,5,last_7d,70,58,36,62,61,63,-74,93,-54
G3SG1 | Digital Mesh (Factory New),G3SG1 | Digital Mesh,holdout,3,last_24h,409,498,215,308,273,-66,-125,179,390
G3SG1 | Digital Mesh (Field-Tested),G3SG1 | Digital Mesh,holdout,3,last_24h,117,199,61,99,87,-55,-51,-20,836
G3SG1 | Digital Mesh (Minimal Wear),G3SG1 | Digital Mesh,holdout,3,last_24h,176,103,93,231,128,344,-128,1664,-120
G3SG1 | Digital Mesh (Well-Worn),G3SG1 | Digital Mesh,holdout,3,last_24h,81,,40,85,73,,-70,,-70
G3SG1 | Dream Glade (Battle-Scarred),G3SG1 | Dream Glade,training,5,last_24h,75,54,49,76,74,540,-63,762,-50
G3SG1 | Dream Glade (Factory New),G3SG1 | Dream Glade,training,3,last_24h,577,306,298,414,411,1040,-183,1376,-149
G3SG1 | Dream Glade (Field-Tested),G3SG1 | Dream Glade,training,3,last_24h,90,62,56,81,80,,-56,,-56
G3SG1 | Dream Glade (Minimal Wear),G3SG1 | Dream Glade,training,3,last_24h,137,86,76,130,129,1201,-90,1597,-84
G3SG1 | Dream Glade (Well-Worn),G3SG1 | Dream Glade,training,3,last_24h,84,56,52,80,78,400,-60,616,-51
G3SG1 | Flux (Battle-Scarred),G3SG1 | Flux,training,5,last_24h,805,,539,805,767,,-257,,-257
G3SG1 | Flux (Field-Tested),G3SG1 | Flux,training,3,last_24h,1021,620,583,845,842,749,-269,977,-238
G3SG1 | Flux (Well-Worn),G3SG1 | Flux,training,3,last_24h,887,614,558,784,696,504,-240,858,-192
G3SG1 | Green Apple (Factory New),G3SG1 | Green Apple,holdout,4,last_24h,41,48,38,21,19,-53,508,-6,938
G3SG1 | Green Apple (Field-Tested),G3SG1 | Green Apple,holdout,3,last_24h,15,10,8,12,10,47,-25,144,-17
G3SG1 | Green Apple (Minimal Wear),G3SG1 | Green Apple,holdout,3,last_24h,14,977,9,11,10,,-21,,74640
G3SG1 | Green Cell (Factory New),G3SG1 | Green Cell,training,3,last_24h,6,15,4,5,4,,,-616,
G3SG1 | High Seas (Battle-Scarred),G3SG1 | High Seas,training,5,last_24h,104,102,3,100,89,83,-57,173,-7
G3SG1 | High Seas (Factory New),G3SG1 | High Seas,training,3,last_24h,1482,828,768,1100,1066,900,,1272,
G3SG1 | High Seas (Field-Tested),G3SG1 | High Seas,training,3,last_24h,122,68,58,99,98,776,-52,1112,-44
G3SG1 | High Seas (Minimal Wear),G3SG1 | High Seas,training,3,last_24h,444,707,199,345,338,-199,-137,-109,1041
G3SG1 | High Seas (Well-Worn),G3SG1 | High Seas,training,3,last_24h,101,115,68,116,97,29,-45,95,-3
G3SG1 | Hunter (Battle-Scarred),G3SG1 | Hunter,training,5,last_24h,19,11,5,23,16,90,-43,240,-35
G3SG1 | Hunter (Factory New),G3SG1 | Hunter,training,3,last_24h,186,118,71,147,141,307,-96,463,-53
G3SG1 | Hunter (Field-Tested),G3SG1 | Hunter,training,3,last_24h,32,35,18,39,35,103,-38,225,-30
G3SG1 | Hunter (Minimal Wear),G3SG1 | Hunter,training,3,last_24h,40,26,22,48,39,-55,-34,-15,915
G3SG1 | Hunter (Well-Worn),G3SG1 | Hunter,training,3,last_24h,21,12,10,34,18,322,-44,1031,-43
G3SG1 | Jungle Dashed (Factory New),G3SG1 | Jungle Dashed,holdout,3,last_24h,164,72,38,95,78,130,-62,340,-42
